page,priority,content
4,0.5373134328358209,"year. In the meantime, we’d like to bring your attention to JetBlue’s social impact in 2018-2019."
4,0.8656716417910448,"A Look Back at 2018-2019:"
4,0.7164179104477612,"Over the past nine years, our crewmembers volunteered more than 1 million hours of caring in their communities."
4,0.6417910447761195,"Doing good is in our DNA, and our culture of service is what makes JetBlue, well…JetBlue. We’re pleased to share"
4,0.8059701492537313,"our 2018-2019 Social Impact Report– a complement to our 2019 Environmental Social Governance Report. This"
4,0.7313432835820897,"report looks at the many ways we’ve worked hard to become the airline of choice for customers and the employer"
4,0.7910447761194029,"of choice for our crewmembers."
4,0.44776119402985076,"In these pages, you’ll see our mission come to life on a wide variety of fronts:"
4,0.8805970149253731,"• Supporting each other: As our crewmembers and customers and crewmembers rose to the occasion to provide"
4,0.6268656716417911,"rescue flights, haul relief supplies and raise funds for our neighbors and customers throughout the Caribbean,"
4,0.6567164179104478,"in the wake of Hurricane Maria."
4,0.8507462686567164,"• Engaging our communities: With our Soar with Reading program that brings the power and magic of reading to"
4,0.49253731343283585,"children with little or no access to age-appropriate books."
4,0.7761194029850746,"• Building the JetBlue Foundation: In our aviation education programs and partnerships that are charting a course"
4,0.4626865671641791,"for the next generation of aviators."
4,0.6865671641791045,"• Working toward a healthier planet: Through our ongoing efforts to offset the carbon footprint of our operations."
4,0.7611940298507462,"• Championing inclusion: By celebrating diversity throughout our organization and working hard to create a culture"
4,0.8358208955223881,"where all crewmembers are empowered to express their true selves."
4,0.8208955223880596,"As we reflect upon these stories and more, we’re immensely grateful to our crewmembers, customers and"
4,0.5970149253731344,"communities for making us a force for good – you inspire us. In turn, we hope this report inspires you to make"
4,0.4328358208955224,"a positive impact."
4,0.41791044776119407,"Sincerely,"
4,0.8955223880597015,"Robin Hayes  Joanna Geraghty"
4,0.9104477611940298,"CEO  President & COO"
4,0.3582089552238806,"9"
5,0.2,"10"
5,1.0,"J E T B L U E  S O C I A L  I M P A C T  R E P O R T. 2 0 1 8  +  2 0 1 9. 2"
5,0.8,"GAINING . ALTITUDE"
5,0.6,"S I N C E  1 9 9 8"
5,0.4,"11"
6,0.75,""
6,0.28125,""
6,0.28125,""
6,0.28125,""
6,0.28125,""
6,0.28125,""
6,0.28125,""
6,0.020833333333333336,""
6,0.13541666666666666,""
6,0.13541666666666666,""
6,0.13541666666666666,""
6,0.13541666666666666,""
6,0.13541666666666666,""
6,0.13541666666666666,""
6,0.13541666666666666,""
6,0.13541666666666666,""
6,0.04166666666666667,""
6,0.8333333333333333,""
6,0.8333333333333333,""
6,0.7708333333333333,""
6,0.7916666666666667,""
6,0.8333333333333333,""
6,0.41666666666666663,"13"
6,0.35416666666666663,"2 0 1 8  +  2 0 1 9"
6,0.375,"12"
6,1.0,"GAINING ALTITUDE . SINCE 1998"
6,0.7291666666666667,"When JetBlue (NASDAQ: JBLU) took flight now 20"
6,0.5833333333333334,"years ago, it was with the belief that personal, human"
6,0.6666666666666667,"touches and kind, compassionate service could bring"
6,0.6041666666666666,"humanity back to air travel. We’ve been dedicated to"
6,0.5,"inspiring humanity – in flight, on the ground and in"
6,0.625,"our communities, ever since."
6,0.5416666666666666,"Guided by the simple belief that value, quality and"
6,0.47916666666666663,"affordability do not have to be mutually exclusive,"
6,0.5625,"we’ve successfully disrupted the industry by offering"
6,0.5208333333333334,"a distinct travel experience built around comfort,"
6,0.6458333333333333,"convenience and award-winning service. We call this"
6,0.7083333333333333,"the JetBlue Experience because it exemplifies our"
6,0.6875,"commitment to keeping people and culture at the"
6,0.4375,"heart of everything we do, in order to deliver value for"
6,0.45833333333333337,"all of our stakeholders."
6,0.9583333333333333,"The JetBlue Experience"
6,0.9166666666666667,"exemplifies our"
6,0.9791666666666667,"commitment"
6,0.9375,"to keeping people"
6,0.875,"and culture at the heart"
6,0.8958333333333333,"of everything we do."
6,0.39583333333333337,"13"
7,0.795774647887324,""
7,0.823943661971831,""
7,0.795774647887324,""
7,0.823943661971831,""
7,0.01408450704225352,""
7,0.3098591549295775,""
7,0.20422535211267603,""
7,0.20422535211267603,""
7,0.20422535211267603,""
7,0.20422535211267603,""
7,0.20422535211267603,""
7,0.20422535211267603,""
7,0.20422535211267603,""
7,0.20422535211267603,""
7,0.20422535211267603,""
7,0.20422535211267603,""
7,0.20422535211267603,""
7,0.20422535211267603,""
7,0.09859154929577464,""
7,0.20422535211267603,""
7,0.20422535211267603,""
7,0.32394366197183094,""
7,0.3380281690140845,""
7,1.0,"."
7,0.035211267605633804,""
7,0.9295774647887324,""
7,0.05633802816901408,""
7,0.035211267605633804,""
7,0.8873239436619719,""
7,0.3591549295774648,"-"
7,0.3873239436619718,"-"
7,0.3591549295774648,"-"
7,0.3873239436619718,"-"
7,0.45070422535211263,"15"
7,0.40845070422535207,"2 0 1 8  +  2 0 1 9"
7,0.9154929577464789,"Know Your JetBlue Rights"
7,0.8591549295774648,"JetBlue was the first major U.S. airline to have"
7,0.9014084507042253,"a Customer Bill of Rights, which provides a framework"
7,0.8732394366197183,"for customers to keep us accountable if we fall short"
7,0.8450704225352113,"of their expectations."
7,0.619718309859155,"In 2018-2019, this commitment continued to come to life across our operations. We continued to build"
7,0.4929577464788732,"relevance and local scale across our focus cities, with particular concentration on the three largest – New"
7,0.6338028169014085,"York, Boston and Fort Lauderdale - Hollywood. We added more flights to our destinations, which we call"
7,0.704225352112676,"BlueCities, notably expanding routes between the Northeast and the Caribbean."
7,0.5070422535211268,"We’ve also been able to increase capacity with larger aircraft and through our three-year cabin restyling"
7,0.6056338028169015,"program that adds seating capacity without compromising our ability to offer the most legroom in coach,"
7,0.5492957746478874,"based on the industry average in the U.S.*"
7,0.4788732394366197,"Whether it’s the flexibility of our different fare options, ways for our TrueBlue loyalty program members to"
7,0.7183098591549296,"earn and use points, free onboard Wi-Fi or the expansion of our award-winning premium Mint® experience"
7,0.6619718309859155,"complete with 16 fully lie-flat seats, we continue to make improvements to our customer experience in ways"
7,0.5352112676056339,"that allow us to remain competitive while staying true to our mission and values."
7,0.6901408450704225,"But the JetBlue Experience isn’t only about the time that customers spend on the plane. We’ve made"
7,0.5774647887323944,"significant investments in technology that help to improve the experience customers have at the airport. With"
7,0.676056338028169,"23 self-service lobbies completed, more customers than ever can opt to check in, complete with bag-tagging,"
7,0.6478873239436619,"at one of the self-serve kiosks. This also gives our crewmembers more opportunities to step out from behind"
7,0.5915492957746479,"the counter and interact personally with customers."
7,0.5633802816901409,"Our approach has consistently earned us recognition from the industry for safety, our product offering and"
7,0.5211267605633804,"customer service. It’s a reflection of the high standards that we set for ourselves, and we expect our customers"
7,0.4647887323943662,"to hold us to."
7,0.07042253521126761,"*JetBlue offers the most legroom in coach based on average fleet-wide seat pitch for U.S. airlines."
7,0.4225352112676056,"14"
7,0.08450704225352113,"J E T B L U E  S O C I A L  I M P A C T  R E P O R T"
7,0.9436619718309859,"#1 U.S. Domestic Airline"
7,0.732394366197183,"TRAVEL + LEISURE  2019"
7,0.971830985915493,"Best Airline for . North American Travel"
7,0.7605633802816901,"BUSINESS TRAVELER  2019"
7,0.9859154929577464,"Best in Passenger Comfort . North America"
7,0.7464788732394366,"TRIPADVISOR  2019"
7,0.9577464788732394,"Top Low Cost Airline . for Customer Satisfaction"
